Table,Document,URL
,./data/wiki/wiki_doc/Muhammad Ali.md,https://en.wikipedia.org/wiki/Muhammad_Ali
,./data/wiki/wiki_doc/Ayrton Senna.md,https://en.wikipedia.org/wiki/Ayrton_Senna
,./data/wiki/wiki_doc/FIFA World Cup.md,https://en.wikipedia.org/wiki/FIFA_World_Cup
,./data/wiki/wiki_doc/National Basketball Association.md,https://en.wikipedia.org/wiki/NBA
,./data/wiki/wiki_doc/Aviation.md,https://en.wikipedia.org/wiki/Aviation
,./data/wiki/wiki_doc/Airplane.md,https://en.wikipedia.org/wiki/Airplane
,./data/wiki/wiki_doc/Helicopter.md,https://en.wikipedia.org/wiki/Helicopter
,./data/wiki/wiki_doc/Boeing.md,https://en.wikipedia.org/wiki/Boeing
,./data/wiki/wiki_doc/Airbus.md,https://en.wikipedia.org/wiki/Airbus
,./data/wiki/wiki_doc/Airport.md,https://en.wikipedia.org/wiki/Airport
,./data/wiki/wiki_doc/Rail transport.md,https://en.wikipedia.org/wiki/Railway
,./data/wiki/wiki_doc/High-speed rail.md,https://en.wikipedia.org/wiki/High-speed_rail
,./data/wiki/wiki_doc/Shinkansen.md,https://en.wikipedia.org/wiki/Shinkansen
,./data/wiki/wiki_doc/Car.md,https://en.wikipedia.org/wiki/Automobile
,./data/wiki/wiki_doc/Ship.md,https://en.wikipedia.org/wiki/Ship
,./data/wiki/wiki_doc/Container ship.md,https://en.wikipedia.org/wiki/Container_ship
,./data/wiki/wiki_doc/Submarine.md,https://en.wikipedia.org/wiki/Submarine
,./data/wiki/wiki_doc/Aircraft carrier.md,https://en.wikipedia.org/wiki/Aircraft_carrier
,./data/wiki/wiki_doc/Suez Canal.md,https://en.wikipedia.org/wiki/Suez_Canal
,./data/wiki/wiki_doc/Panama Canal.md,https://en.wikipedia.org/wiki/Panama_Canal
,./data/wiki/wiki_doc/Trans-Siberian Railway.md,https://en.wikipedia.org/wiki/Trans-Siberian_Railway
,./data/wiki/wiki_doc/Hyperloop.md,https://en.wikipedia.org/wiki/Hyperloop
,./data/wiki/wiki_doc/Unmanned aerial vehicle.md,https://en.wikipedia.org/wiki/Drone_(unmanned_aerial_vehicle)
,./data/wiki/wiki_doc/Self-driving car.md,https://en.wikipedia.org/wiki/Self-driving_car
,./data/wiki/wiki_doc/Space Shuttle.md,https://en.wikipedia.org/wiki/Space_Shuttle
,./data/wiki/wiki_doc/Concorde.md,https://en.wikipedia.org/wiki/Concorde
,./data/wiki/wiki_doc/Wright brothers.md,https://en.wikipedia.org/wiki/Wright_brothers
,./data/wiki/wiki_doc/Charles Lindbergh.md,https://en.wikipedia.org/wiki/Charles_Lindbergh
,./data/wiki/wiki_doc/Yuri Gagarin.md,https://en.wikipedia.org/wiki/Yuri_Gagarin
,./data/wiki/wiki_doc/Neil Armstrong.md,https://en.wikipedia.org/wiki/Neil_Armstrong
,./data/wiki/wiki_doc/International Air Transport Association.md,https://en.wikipedia.org/wiki/International_Air_Transport_Association
,./data/wiki/wiki_doc/Air traffic control.md,https://en.wikipedia.org/wiki/Air_traffic_control
,./data/wiki/wiki_doc/Fossil fuel.md,https://en.wikipedia.org/wiki/Fossil_fuel
,./data/wiki/wiki_doc/Hydrogen vehicle.md,https://en.wikipedia.org/wiki/Hydrogen_vehicle
,./data/wiki/wiki_doc/Agriculture.md,https://en.wikipedia.org/wiki/Agriculture
,./data/wiki/wiki_doc/Rice.md,https://en.wikipedia.org/wiki/Rice
,./data/wiki/wiki_doc/Wheat.md,https://en.wikipedia.org/wiki/Wheat
,./data/wiki/wiki_doc/Maize.md,https://en.wikipedia.org/wiki/Maize
,./data/wiki/wiki_doc/Soybean.md,https://en.wikipedia.org/wiki/Soybean
,./data/wiki/wiki_doc/Coffee.md,https://en.wikipedia.org/wiki/Coffee
,./data/wiki/wiki_doc/Tea.md,https://en.wikipedia.org/wiki/Tea
,./data/wiki/wiki_doc/Sugar.md,https://en.wikipedia.org/wiki/Sugar
,./data/wiki/wiki_doc/Cocoa bean.md,https://en.wikipedia.org/wiki/Cocoa_bean
,./data/wiki/wiki_doc/Olive oil.md,https://en.wikipedia.org/wiki/Olive_oil
,./data/wiki/wiki_doc/Wine.md,https://en.wikipedia.org/wiki/Wine
,./data/wiki/wiki_doc/Beer.md,https://en.wikipedia.org/wiki/Beer
,./data/wiki/wiki_doc/Bread.md,https://en.wikipedia.org/wiki/Bread
,./data/wiki/wiki_doc/Cheese.md,https://en.wikipedia.org/wiki/Cheese
,./data/wiki/wiki_doc/Meat.md,https://en.wikipedia.org/wiki/Meat
,./data/wiki/wiki_doc/Veganism.md,https://en.wikipedia.org/wiki/Veganism
,./data/wiki/wiki_doc/Food security.md,https://en.wikipedia.org/wiki/Food_security
,./data/wiki/wiki_doc/Famine.md,https://en.wikipedia.org/wiki/Famine
,./data/wiki/wiki_doc/Green Revolution.md,https://en.wikipedia.org/wiki/Green_Revolution
,./data/wiki/wiki_doc/Genetically modified organism.md,https://en.wikipedia.org/wiki/Genetically_modified_organism
,./data/wiki/wiki_doc/Organic farming.md,https://en.wikipedia.org/wiki/Organic_farming
,./data/wiki/wiki_doc/Irrigation.md,https://en.wikipedia.org/wiki/Irrigation
,./data/wiki/wiki_doc/Fertilizer.md,https://en.wikipedia.org/wiki/Fertilizer
,./data/wiki/wiki_doc/Pesticide.md,https://en.wikipedia.org/wiki/Pesticide
,./data/wiki/wiki_doc/Food and Agriculture Organization.md,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
,./data/wiki/wiki_doc/Human evolution.md,https://en.wikipedia.org/wiki/Human_evolution
,./data/wiki/wiki_doc/Human.md,https://en.wikipedia.org/wiki/Homo_sapiens
,./data/wiki/wiki_doc/Neanderthal.md,https://en.wikipedia.org/wiki/Neanderthal
,./data/wiki/wiki_doc/Stone Age.md,https://en.wikipedia.org/wiki/Stone_Age
,./data/wiki/wiki_doc/Bronze Age.md,https://en.wikipedia.org/wiki/Bronze_Age
,./data/wiki/wiki_doc/Iron Age.md,https://en.wikipedia.org/wiki/Iron_Age
,./data/wiki/wiki_doc/Prehistoric art.md,https://en.wikipedia.org/wiki/Prehistoric_art
,./data/wiki/wiki_doc/Mesopotamia.md,https://en.wikipedia.org/wiki/Mesopotamia
,./data/wiki/wiki_doc/Indus Valley Civilisation.md,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation
,./data/wiki/wiki_doc/Maya civilization.md,https://en.wikipedia.org/wiki/Maya_civilization
,./data/wiki/wiki_doc/Pompeii.md,https://en.wikipedia.org/wiki/Pompeii
,./data/wiki/wiki_doc/Troy.md,https://en.wikipedia.org/wiki/Troy
,./data/wiki/wiki_doc/Machu Picchu.md,https://en.wikipedia.org/wiki/Machu_Picchu
,./data/wiki/wiki_doc/Great Wall of China.md,https://en.wikipedia.org/wiki/Great_Wall_of_China
,./data/wiki/wiki_doc/Giza pyramid complex.md,https://en.wikipedia.org/wiki/Pyramids_of_Giza
,./data/wiki/wiki_doc/Rosetta Stone.md,https://en.wikipedia.org/wiki/Rosetta_Stone
,./data/wiki/wiki_doc/Dead Sea Scrolls.md,https://en.wikipedia.org/wiki/Dead_Sea_Scrolls
,./data/wiki/wiki_doc/Cultural anthropology.md,https://en.wikipedia.org/wiki/Cultural_anthropology
,./data/wiki/wiki_doc/Linguistics.md,https://en.wikipedia.org/wiki/Linguistics
,./data/wiki/wiki_doc/Folklore.md,https://en.wikipedia.org/wiki/Folklore
,./data/wiki/wiki_doc/Shamanism.md,https://en.wikipedia.org/wiki/Shamanism
,./data/wiki/wiki_doc/Nomad.md,https://en.wikipedia.org/wiki/Nomad
,./data/wiki/wiki_doc/Migration (ecology).md,https://en.wikipedia.org/wiki/Migration_(ecology)
,./data/wiki/wiki_doc/Indigenous peoples.md,https://en.wikipedia.org/wiki/Indigenous_peoples
,./data/wiki/wiki_doc/Colonization.md,https://en.wikipedia.org/wiki/Colonization
,./data/wiki/wiki_doc/Christianity.md,https://en.wikipedia.org/wiki/Christianity
,./data/wiki/wiki_doc/Islam.md,https://en.wikipedia.org/wiki/Islam
,./data/wiki/wiki_doc/Judaism.md,https://en.wikipedia.org/wiki/Judaism
,./data/wiki/wiki_doc/Hinduism.md,https://en.wikipedia.org/wiki/Hinduism
,./data/wiki/wiki_doc/Buddhism.md,https://en.wikipedia.org/wiki/Buddhism
,./data/wiki/wiki_doc/Sikhism.md,https://en.wikipedia.org/wiki/Sikhism
,./data/wiki/wiki_doc/Taoism.md,https://en.wikipedia.org/wiki/Taoism
,./data/wiki/wiki_doc/Confucianism.md,https://en.wikipedia.org/wiki/Confucianism
,./data/wiki/wiki_doc/Shinto.md,https://en.wikipedia.org/wiki/Shinto
,./data/wiki/wiki_doc/Atheism.md,https://en.wikipedia.org/wiki/Atheism
,./data/wiki/wiki_doc/Greek mythology.md,https://en.wikipedia.org/wiki/Greek_mythology
,./data/wiki/wiki_doc/Roman mythology.md,https://en.wikipedia.org/wiki/Roman_mythology
,./data/wiki/wiki_doc/Norse mythology.md,https://en.wikipedia.org/wiki/Norse_mythology
,./data/wiki/wiki_doc/Egyptian mythology.md,https://en.wikipedia.org/wiki/Egyptian_mythology
,./data/wiki/wiki_doc/Aztec mythology.md,https://en.wikipedia.org/wiki/Aztec_mythology
,./data/wiki/wiki_doc/Bible.md,https://en.wikipedia.org/wiki/Bible
,./data/wiki/wiki_doc/Quran.md,https://en.wikipedia.org/wiki/Quran
,./data/wiki/wiki_doc/Torah.md,https://en.wikipedia.org/wiki/Torah
,./data/wiki/wiki_doc/Vatican City.md,https://en.wikipedia.org/wiki/Vatican_City
,./data/wiki/wiki_doc/Mecca.md,https://en.wikipedia.org/wiki/Mecca
,./data/wiki/wiki_doc/Jerusalem.md,https://en.wikipedia.org/wiki/Jerusalem
,./data/wiki/wiki_doc/Counter-Reformation.md,https://en.wikipedia.org/wiki/Counter-Reformation
,./data/wiki/wiki_doc/Reformation.md,https://en.wikipedia.org/wiki/Reformation
,./data/wiki/wiki_doc/Inquisition.md,https://en.wikipedia.org/wiki/Inquisition
,./data/wiki/wiki_doc/Secularism.md,https://en.wikipedia.org/wiki/Secularism
,./data/wiki/wiki_doc/English language.md,https://en.wikipedia.org/wiki/English_language
,./data/wiki/wiki_doc/Spanish language.md,https://en.wikipedia.org/wiki/Spanish_language
,./data/wiki/wiki_doc/Mandarin Chinese.md,https://en.wikipedia.org/wiki/Mandarin_Chinese
,./data/wiki/wiki_doc/Arabic.md,https://en.wikipedia.org/wiki/Arabic_language
,./data/wiki/wiki_doc/French language.md,https://en.wikipedia.org/wiki/French_language
,./data/wiki/wiki_doc/Portuguese language.md,https://en.wikipedia.org/wiki/Portuguese_language
,./data/wiki/wiki_doc/German language.md,https://en.wikipedia.org/wiki/German_language
,./data/wiki/wiki_doc/Russian language.md,https://en.wikipedia.org/wiki/Russian_language
,./data/wiki/wiki_doc/Japanese language.md,https://en.wikipedia.org/wiki/Japanese_language
,./data/wiki/wiki_doc/Hindi.md,https://en.wikipedia.org/wiki/Hindi
,./data/wiki/wiki_doc/Latin.md,https://en.wikipedia.org/wiki/Latin
,./data/wiki/wiki_doc/Sign language.md,https://en.wikipedia.org/wiki/Sign_language
,./data/wiki/wiki_doc/Writing system.md,https://en.wikipedia.org/wiki/Writing_system
,./data/wiki/wiki_doc/Alphabet.md,https://en.wikipedia.org/wiki/Alphabet
,./data/wiki/wiki_doc/Translation.md,https://en.wikipedia.org/wiki/Translation
,./data/wiki/wiki_doc/Language family.md,https://en.wikipedia.org/wiki/Language_family
,./data/wiki/wiki_doc/Constructed language.md,https://en.wikipedia.org/wiki/Constructed_language
,./data/wiki/wiki_doc/Endangered language.md,https://en.wikipedia.org/wiki/Endangered_language
,./data/wiki/wiki_doc/Esperanto.md,https://en.wikipedia.org/wiki/Esperanto
,./data/wiki/wiki_doc/Multilingualism.md,https://en.wikipedia.org/wiki/Bilingualism
,./data/wiki/wiki_doc/Prime number.md,https://en.wikipedia.org/wiki/Prime_number
,./data/wiki/wiki_doc/Calculus.md,https://en.wikipedia.org/wiki/Calculus
,./data/wiki/wiki_doc/Linear algebra.md,https://en.wikipedia.org/wiki/Linear_algebra
,./data/wiki/wiki_doc/Statistics.md,https://en.wikipedia.org/wiki/Statistics
,./data/wiki/wiki_doc/Probability.md,https://en.wikipedia.org/wiki/Probability
,./data/wiki/wiki_doc/Graph theory.md,https://en.wikipedia.org/wiki/Graph_theory
,./data/wiki/wiki_doc/Number theory.md,https://en.wikipedia.org/wiki/Number_theory
,./data/wiki/wiki_doc/Geometry.md,https://en.wikipedia.org/wiki/Geometry
,./data/wiki/wiki_doc/Topology.md,https://en.wikipedia.org/wiki/Topology
,./data/wiki/wiki_doc/Cryptography.md,https://en.wikipedia.org/wiki/Cryptography
,./data/wiki/wiki_doc/Algorithm.md,https://en.wikipedia.org/wiki/Algorithm
,./data/wiki/wiki_doc/Pi.md,https://en.wikipedia.org/wiki/Pi
,./data/wiki/wiki_doc/Fibonacci sequence.md,https://en.wikipedia.org/wiki/Fibonacci_sequence
,./data/wiki/wiki_doc/Pythagorean theorem.md,https://en.wikipedia.org/wiki/Pythagorean_theorem
,./data/wiki/wiki_doc/Euler's identity.md,https://en.wikipedia.org/wiki/Euler%27s_identity
,./data/wiki/wiki_doc/Isaac Newton.md,https://en.wikipedia.org/wiki/Isaac_Newton
,./data/wiki/wiki_doc/Albert Einstein.md,https://en.wikipedia.org/wiki/Albert_Einstein
,./data/wiki/wiki_doc/Alan Turing.md,https://en.wikipedia.org/wiki/Alan_Turing
,./data/wiki/wiki_doc/Carl Friedrich Gauss.md,https://en.wikipedia.org/wiki/Carl_Friedrich_Gauss
,./data/wiki/wiki_doc/Leonhard Euler.md,https://en.wikipedia.org/wiki/Leonhard_Euler
,./data/wiki/wiki_doc/Fields Medal.md,https://en.wikipedia.org/wiki/Fields_Medal
,./data/wiki/wiki_doc/Abel Prize.md,https://en.wikipedia.org/wiki/Abel_Prize
,./data/wiki/wiki_doc/Chaos theory.md,https://en.wikipedia.org/wiki/Chaos_theory
,./data/wiki/wiki_doc/Climate change.md,https://en.wikipedia.org/wiki/Climate_change
,./data/wiki/wiki_doc/Climate change.md,https://en.wikipedia.org/wiki/Global_warming
,./data/wiki/wiki_doc/Greenhouse gas.md,https://en.wikipedia.org/wiki/Greenhouse_gas
,./data/wiki/wiki_doc/Carbon dioxide.md,https://en.wikipedia.org/wiki/Carbon_dioxide
,./data/wiki/wiki_doc/Ozone layer.md,https://en.wikipedia.org/wiki/Ozone_layer
,./data/wiki/wiki_doc/Deforestation.md,https://en.wikipedia.org/wiki/Deforestation
,./data/wiki/wiki_doc/Biodiversity.md,https://en.wikipedia.org/wiki/Biodiversity
,./data/wiki/wiki_doc/Coral reef.md,https://en.wikipedia.org/wiki/Coral_reef
,./data/wiki/wiki_doc/Endangered species.md,https://en.wikipedia.org/wiki/Endangered_species
,./data/wiki/wiki_doc/Extinction.md,https://en.wikipedia.org/wiki/Extinction
,./data/wiki/wiki_doc/Recycling.md,https://en.wikipedia.org/wiki/Recycling
,./data/wiki/wiki_doc/Plastic pollution.md,https://en.wikipedia.org/wiki/Plastic_pollution
,./data/wiki/wiki_doc/Ocean acidification.md,https://en.wikipedia.org/wiki/Ocean_acidification
,./data/wiki/wiki_doc/Earthquake.md,https://en.wikipedia.org/wiki/Earthquake
,./data/wiki/wiki_doc/Volcano.md,https://en.wikipedia.org/wiki/Volcano
,./data/wiki/wiki_doc/Tsunami.md,https://en.wikipedia.org/wiki/Tsunami
,./data/wiki/wiki_doc/Tropical cyclone.md,https://en.wikipedia.org/wiki/Hurricane
,./data/wiki/wiki_doc/Tornado.md,https://en.wikipedia.org/wiki/Tornado
,./data/wiki/wiki_doc/Drought.md,https://en.wikipedia.org/wiki/Drought
,./data/wiki/wiki_doc/Wildfire.md,https://en.wikipedia.org/wiki/Wildfire
,./data/wiki/wiki_doc/World Health Organization.md,https://en.wikipedia.org/wiki/World_Health_Organization
,./data/wiki/wiki_doc/Epidemiology.md,https://en.wikipedia.org/wiki/Epidemiology
,./data/wiki/wiki_doc/Pandemic.md,https://en.wikipedia.org/wiki/Pandemic
,./data/wiki/wiki_doc/Spanish flu.md,https://en.wikipedia.org/wiki/1918_flu_pandemic
,./data/wiki/wiki_doc/Smallpox.md,https://en.wikipedia.org/wiki/Smallpox
,./data/wiki/wiki_doc/Polio.md,https://en.wikipedia.org/wiki/Polio
,./data/wiki/wiki_doc/Mental health.md,https://en.wikipedia.org/wiki/Mental_health
,./data/wiki/wiki_doc/Depression (mood).md,https://en.wikipedia.org/wiki/Depression_(mood)
,./data/wiki/wiki_doc/Autism.md,https://en.wikipedia.org/wiki/Autism
,./data/wiki/wiki_doc/Nutrition.md,https://en.wikipedia.org/wiki/Nutrition
,./data/wiki/wiki_doc/International law.md,https://en.wikipedia.org/wiki/International_law
,./data/wiki/wiki_doc/Criminal law.md,https://en.wikipedia.org/wiki/Criminal_law
,./data/wiki/wiki_doc/International human rights law.md,https://en.wikipedia.org/wiki/Human_rights_law
,./data/wiki/wiki_doc/International Criminal Court.md,https://en.wikipedia.org/wiki/International_Criminal_Court
,./data/wiki/wiki_doc/Supreme Court of the United States.md,https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States
,./data/wiki/wiki_doc/European Court of Human Rights.md,https://en.wikipedia.org/wiki/European_Court_of_Human_Rights
,./data/wiki/wiki_doc/Capital punishment.md,https://en.wikipedia.org/wiki/Death_penalty
,./data/wiki/wiki_doc/Prison.md,https://en.wikipedia.org/wiki/Prison
,./data/wiki/wiki_doc/Police.md,https://en.wikipedia.org/wiki/Police
,./data/wiki/wiki_doc/Terrorism.md,https://en.wikipedia.org/wiki/Terrorism
,./data/wiki/wiki_doc/Cybercrime.md,https://en.wikipedia.org/wiki/Cybercrime
,./data/wiki/wiki_doc/Money laundering.md,https://en.wikipedia.org/wiki/Money_laundering
,./data/wiki/wiki_doc/War crime.md,https://en.wikipedia.org/wiki/War_crime
,./data/wiki/wiki_doc/Genocide.md,https://en.wikipedia.org/wiki/Genocide
,./data/wiki/wiki_doc/Slavery.md,https://en.wikipedia.org/wiki/Slavery
,./data/wiki/wiki_doc/Asylum seeker.md,https://en.wikipedia.org/wiki/Asylum_seeker
,./data/wiki/wiki_doc/Refugee.md,https://en.wikipedia.org/wiki/Refugee
,./data/wiki/wiki_doc/Immigration.md,https://en.wikipedia.org/wiki/Immigration
,./data/wiki/wiki_doc/Citizenship.md,https://en.wikipedia.org/wiki/Citizenship
,./data/wiki/wiki_doc/Statelessness.md,https://en.wikipedia.org/wiki/Statelessness
